,Tesco,right_side,similairity
0,Pantene Smooth & Sleek Shampoo & Conditioner 3In1 450Ml,Head and Shoulders Itchy Scalp Anti Dandruff 2in1 Shampoo 450ml,0.10517755706995678
0,L'oreal Elvive Clay Oily Roots Shampoo 500Ml,Head and Shoulders Classic Clean Anti Dandruff Shampoo 500ml,0.14268994137763186
0,Batiste Heavenly Volume Dry Shampoo 200Ml,Batiste Dry Cherry Shampoo  200ml,0.4859728382707285
0,Aussie Beach Mate Shampoo Limited Edition 300Ml,"Aussie Colour Mate Shampoo For Vibrant, Coloured Hair 300ml",0.16973775036520627
0,John Frieda Luxurious Volume Colour Care Shampoo 250Ml,John Frieda Luxurious Volume Thickening Shampoo 250ml,0.662336447626047
0,Aussie Miracle Moist Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.5743426600539284
0,Hask Keratin Protein Shampoo 355Ml,,0.0
0,Aussie Colour Mate Shampoo 300Ml,"Aussie Colour Mate Shampoo For Vibrant, Coloured Hair 300ml",0.7072038906591802
0,Neutrogena T/Gel 2 In 1 Dandruff Shampoo 250Ml,Neutrogena T/Gel Therapeutic Shampoo 250ml,0.5324908069015977
0,Ogx Keratin Oil Anti-Breakage Shampoo 385Ml,Ogx Brazillian Keratin Smooth Shampoo  385ml,0.2937275253001508
0,Maui Moisture Shea Butter Shampoo 385Ml,Maui Moisture Revive & Hydrate Shea Butter Shampoo  385ml,0.721440984911611
0,Girlz Only Dry Shampoo Volume 200Ml,Batiste Dry Cherry Shampoo  200ml,0.24881574311607974
0,Just For Men Ctrl Gx Dandruff Shampoo 147Ml,,0.0
0,L'oreal Paris Elvive Colour Protect Low Shampoo 400 Ml,L'Or̩al Elvive Colour Protect Shampoo  400ml,0.7222837488336955
0,L'oreal Elvive Clay Oily Roots Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.12101260904101163
0,Tresemme Moisture Rich Luxurious Shampoo 500Ml,Head & Shoulders Citrus Fresh Anti-Dandruff Shampoo 500ml,0.1062780844896182
0,Ogx Hydrating Argan Extra Shampoo 385Ml,Ogx Brazillian Keratin Smooth Shampoo  385ml,0.19471232136247438
0,Ogx Kukui Oil Defrizz Shampoo 385 Ml,Ogx Fade - Defying + Orchid Oil Shampoo 385ml,0.23922246716337076
0,Tresemme Biotin Plus Repair 7 Shampoo 400Ml,Tresemme Biotin+ Repair 7 Shampoo 400ml,0.7932017013273139
0,Tesco Citrus Anti-Dandruff Shampoo 300Ml,Nutmeg Sports 3 In 1 Shampoo 300ml,0.07082402933781001
0,Ogx Miracle Oil Shampoo 385Ml,Ogx Damage Remedy + Coconut Miracle Oil Shampoo 385ml,0.552735531636779
0,L'oreal Elvive Oil Shampoo 500Ml,Head and Shoulders Anti Dandruff Shampoo Hydration Coconut Oil 500ml,0.15182730177813006
0,Pantene Smooth & Sleek Shampoo 270Ml,,0.0
0,Toni & Guy Illuminate Blonde Shampoo 250Ml,John Frieda Sheer Blonde Go Blonder Lightening Shampoo 250ml,0.26301995872006884
0,Batiste Dry Shampoo Cherry 200Ml,Batiste Dry Cherry Shampoo  200ml,0.9058960085056472
0,Head & Shoulders Apple Fresh Shampoo 500Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo 500ml,0.8667727194962175
0,John Frieda Frizz Ease Straight Shampoo 250Ml,John Frieda Frizz Ease Straight Ahead Shampoo 250ml,0.8735330063528662
0,Batiste Dry Shampoo Tropical 400Ml,Head and Shoulders Anti Dandruff Supreme Moisture Shampoo Dry Hair 400ml,0.14236521661988938
0,Tesco Thickening 2 In 1 Antidandruf Shampoo 300Ml,Nutmeg Kids 2 In 1 Strawberry Shampoo 300ml,0.1983780744374827
0,Tresemme Biotin+ Repair 7 Shampoo 700Ml,L' Oreal Elvive Dream Lengths Long Hair Shampoo  700ml,0.13646239154326256
0,Ogx Purifying Plus Charcoal Detox Shampoo 385Ml,Ogx Purifying Charcoal Detox Shampoo  385ml,0.8523186005214941
0,Jf Radiant Red Red-Boosting Shampoo 250Ml,Got2B Phenomenal Refreshing Shampoo 250ml,0.11454110143366611
0,Toni & Guy Intense Softness Shampoo 250Ml,John Frieda Violet Crush Intense For Blondes Shampoo 250ml,0.24367830922558417
0,Head & Shoulders 2 In 1 Citrus Fresh Shampoo Conditioner 450Ml,Head and Shoulders Apple Fresh 2-in-1 Anti Dandruff Shampoo 450ml,0.4281250665046078
0,Alpecin Double Effect Shampoo 200Ml,L' Oreal Elvive Colour Protect Purple Shampoo  200ml,0.1454501598195727
0,John Frieda Frizz Ease Smooth Start Shampoo 250Ml,John Frieda Frizz Ease Straight Ahead Shampoo 250ml,0.5546590001161592
0,Tresemme Keratin Smooth Shampoo 400Ml,Tresemme Pro Collection Keratin Smooth Shampoo 400ml,0.7243135339103164
0,Ogx Coconut Curls Shampoo 385Ml,Ogx Nourishing Coconut Milk Shampoo 385ml,0.3312310788316698
0,Aussie Man Keep It Thick Shampoo 300Ml,Aussie Man Keep It Clean Shampoo Reformulated for Men 300ml,0.45225212408367976
0,L'oreal Elvive Men Triple Resist Shampoo 500Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo 500ml,0.14987672585161071
0,Hask Monoi Coconut Oil Shampoo 355Ml,,0.0
0,Dove Daily Moisture Light Shampoo 400Ml,Dove Daily Moisture Light Shampoo  400ml,1.0000000000000007
0,Dove Nourishing Oil Light Shampoo 400Ml,L'Oreal Elvive Extraordinary Oil Nourishing Shampoo 400ml,0.41173104380543624
0,Aussie Mega Shampoo 500Ml,Nutmeg Anti-Dandruff Shampoo 500ml,0.20778626639116
0,Vosene Original Shampoo 250Ml,Vosene Medicated Original Shampoo 250ml,0.6617813547642757
0,L'oreal Elvive Dream Lengths Hair Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.14636863823397792
0,Plantur 39 Shampoo Fine & Brittle 250Ml,"Plantur 39 Phyto - Caffeine Shampoo For Fine, Brittle Hair 250ml",0.6525523421787816
0,John Frieda Frizz Ease Recovery Shampoo 250Ml,John Frieda Frizz Ease Dream Curls Shampoo 250ml,0.558147039788838
0,Alberto Balsam Mango Shampoo 350Ml,Alberto Balsam Raspberry Shampoo 350ml,0.4277884254119898
0,Head & Shoulders 2 In 1 Classic Clean Shampoo 225Ml,Head and Shoulders Classic Clean Anti Dandruff 2in1 Shampoo 225ml,0.5824455403413391
0,Tesco Extracts Coconut Shampoo 500Ml,Head and Shoulders Anti Dandruff Shampoo Hydration Coconut Oil 500ml,0.24836654624363316
0,Touch Of Silver Daily Shampoo 400Ml,Provoke Touch Of Silver Colour Care Shampoo 400ml,0.5443237343375487
0,Batiste Dry Shampoo Original 200Ml,Batiste Dry Cherry Shampoo  200ml,0.5461831736744494
0,L'oreal Elvive Colour Protect Coloured Hair Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.28797951929513904
0,Head & Shoulders Classic Clean Shampoo 250Ml,Head and Shoulders Classic Clean Anti Dandruff Shampoo 250ml,0.833201845265759
0,Pantene Classic Clean Shampoo 270Ml,,0.0
0,Tesco Classic Anti-Dandruff Shampoo 300Ml,Pantene Pro-V Classic Clean 3in1 Shampoo + Conditioner + Treatment 300ml,0.25304392599986153
0,L'oreal Elvive Extraordinary Coconut Oil Shampoo 500Ml,Head and Shoulders Anti Dandruff Shampoo Hydration Coconut Oil 500ml,0.27673526632340373
0,Ogx Orchid Oil Shampoo 385Ml,Ogx Fade - Defying + Orchid Oil Shampoo 385ml,0.6215248307734479
0,Tesco Sensitive Anti-Dandruff Shampoo 300Ml,Aussie Calm The Frizz with Australian Hemp Seed Shampoo 300ml,0.07020711333929827
0,Tesco Extracts Blueberry Shampoo 500Ml,Nutmeg Anti-Dandruff Shampoo 500ml,0.10197569192456765
0,Batiste Dry Shampoo Plus Divine Dark 400Ml,Dove Daily Moisture Light Shampoo  400ml,0.1296931587966504
0,Provoke Touch Of Brunette 200Ml Grey Blend Shampoo,,0.0
0,Pantene Smooth & Sleek Shampoo 500Ml,Pantene Pro - V Smooth and Sleek Shampoo For Dull and Frizzy Hair 500ml,0.573788522274713
0,Herbal Essences Dazzling Shine Lime Shampoo 400Ml,Herbal Essences Shampoo Dazzling Shine with Lime Essences 400ml,0.775769039768012
0,Just For Men Control Gx Shampoo 147Ml,,0.0
0,Aussie Man Keep It Strong Shampoo 300Ml,Aussie Man Keep It Clean Shampoo Reformulated for Men 300ml,0.451420230311493
0,L'oreal Elvive Extreme Damaged Hair Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.28648373460966436
0,Head & Shoulders Sensitive Shampoo 500Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo 500ml,0.3057421586895074
0,Alberto Balsam Apple Shampoo 350Ml,Alberto Balsam Juicy Green Apple Shampoo  350ml,0.6302046723112541
0,Head & Shoulders Itchy Scalp Eucalyptus Shampoo 500Ml,Head and Shoulders Itchy Scalp Eucalyptus Anti Dandruff Shampoo 500ml,0.9189464471046159
0,Tesco Apple Anti-Dandruff Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.08113984686725248
0,Garnier Ultimate Blends Almond Milk Normal Hair Shampoo 360Ml,Garnier Ultimate Blends Almond Milk & Agave Sap Normal Hair Shampoo 360ml,0.7807574303319887
0,Garnier Ultimate Blends Argan Oil Shampoo Coloured Hair 360Ml,Garnier Ultimate Blends Argan Oil Coloured Hair Shampoo 360ml,0.9000004961184281
0,John Frieda Frizz Ease Weightless Shampoo 250Ml,John Frieda Frizz Ease Straight Ahead Shampoo 250ml,0.5735163469323669
0,Head & Shoulders Menthol Fresh Shampoo 500Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo 500ml,0.4527013596810311
0,Garnier Ultimate Blends Honey Strengthening Shampoo 360Ml,Garnier Ultimate Blends Honey Strengthening Shampoo 360ml,1.0
0,Head & Shoulders 2 In 1 Classic Clean Shampoo 450Ml,Head and Shoulders Classic Clean Anti Dandruff 2in1 Shampoo 450ml,0.6829838715092712
0,Tresemme Smooth Salon Silk Shampoo 500Ml,Pantene Pro - V Smooth and Sleek Shampoo For Dull and Frizzy Hair 500ml,0.22412793416886412
0,Alpecin Hair Energizer Liquid 200Ml,Pantene 3 Minute Miracle Superfood Hair Conditioner Weak Thin Hair 200ml,0.16590988501415127
0,Natural World Raw Shea Butter Baobab Shampoo 1000Ml,,0.0
0,Pantene Hard Water Shield Shampoo 500Ml,Pantene Pro - V Smooth and Sleek Shampoo For Dull and Frizzy Hair 500ml,0.161812883088515
0,Tresemme Deep Cleansing Shampoo 900Ml,,0.0
0,Alpecin Hybrid Caffeine Shampoo 250Ml,Alpecin Caffeine Shampoo 250ml,0.7346302974144581
0,Tresemme Colour Revitalise Shampoo 900Ml,,0.0
0,Batiste Dry Shampoo Tropical 200Ml,Batiste Dry Cherry Shampoo  200ml,0.5414146654399163
0,Tresemme Keratin Smooth Shampoo 700Ml,L'Oreal Elvive Colour Protect Shampoo 700ml,0.10999845849723063
0,Mancave Caffeine Shampoo 200Ml,Dove Silver Care Shampoo 200ml,0.2680193871346797
0,Herbal Essences Bio Renew Rice Milk Shampoo 400Ml,Herbal Essences Bio Renew Shampoo Passion Flower and Rice Milk 400ml,0.6393111492852352
0,Herbal Essences Bio. Renew Strawberry Shampoo 400Ml,Herbal Essences Bio Renew Shampoo White Strawberry and Mint 400ml,0.7847113474385915
0,Alberto Balsam Tea Tree Shampoo 350Ml,Alberto Balsam Tea Tree Tingle Shampoo  350ml,0.8230100345177058
0,Ogx Biotin & Collagen Volume Shampoo 385 Ml,Ogx Brazillian Keratin Smooth Shampoo  385ml,0.16341781235222835
0,Dove Daily Moisture 2 In 1 Shampoo & Conditioner 400Ml,Dove Daily Moisture Light Shampoo  400ml,0.5069952872835959
0,Plantur 39 Tonic 200Ml,"Green People Organic Conditioner, Moisturising, Vegan 200ml",0.08646512739431908
0,Tesco 2 In 1 Anti-Dandruff Shampoo 300Ml,Nutmeg Kids 2 In 1 Strawberry Shampoo 300ml,0.23210180334004485
0,Natural World Argan Oil Shampoo 1000Ml,,0.0
0,John Frieda Sheer Blonde Colour Renew Shampoo 250Ml,John Frieda Sheer Blonde Go Blonder Lightening Shampoo 250ml,0.5751345206767977
0,Pantene Classic Clean 3In1 Shampoo & Conditioner 450Ml,Head and Shoulders Classic Clean Anti Dandruff 2in1 Shampoo 450ml,0.4581226068664945
0,Herbal Essences Manuka Honey Shampoo 400Ml,Herbal Essences Bio Renew Shampoo Bourbon and Manuka Honey Repair 400ml,0.6240477155072759
0,John Frieda Brilliant Brunette Visibly Deeper Shampoo 250Ml,John Frieda Brilliant Brunette Moisturising Shampoo for All Brunettes 250ml,0.6119253026273607
0,Aussie Aussome Volume Shampoo 300Ml,"Aussie Aussome Volume Shampoo For Fine, Flat Hair  300ml",0.7245333009369405
0,Tesco Extracts Raspberry Shampoo 500Ml,Nutmeg Anti-Dandruff Shampoo 500ml,0.10197569192456765
0,Head & Shoulders 2 In 1 Itchy Scalp Shampoo Conditioner 450Ml,Head and Shoulders Itchy Scalp Anti Dandruff 2in1 Shampoo 450ml,0.45878760226359516
0,L'oreal Elvive Fine Hair Thickening Shampoo 300Ml,"Aussie Aussome Volume Shampoo For Fine, Flat Hair  300ml",0.18565353943063687
0,John Frieda Hydrate & Recharge Shampoo 250Ml,John Frieda Hydrate & Recharge Shampoo 250ml,0.9999999999999993
0,Girlz Only Dry Shampoo De-Frizz 200Ml,Batiste Dry Cherry Shampoo  200ml,0.23315407467584412
0,Tesco Anti-Dan Mint & Tea Tree Shampoo & Conditioner 300 Ml,Pantene Pro-V Classic Clean 3in1 Shampoo + Conditioner + Treatment 300ml,0.27177470696320555
0,Neutrogena T/Gel Therapeutic Shampoo 125Ml,Neutrogena T/Gel Therapeutic Shampoo 125ml,1.0000000000000004
0,Aussie Miracle Shine Shampoo 300Ml,Aussie Miracle Shine Shampoo With Ginseng extract & Pearl powder 300ml,0.49511740962997647
0,Just For Men Control Gx Shampoo & Conditioner 147Ml,,0.0
0,Tesco Kids Apple & Melon 2 In 1 Shampoo 250Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo Apple Scent 250ml,0.2819855277349821
0,Toni & Guy Damage Repair Shampoo 250Ml,Herbal Essences Bio Renew Repair Argan Oil Shampoo 250ml,0.210561425453912
0,Tresemme 24 Hour Body Shampoo 900Ml,,0.0
0,Alberto Balsam Raspberry Shampoo 350Ml,Alberto Balsam Raspberry Shampoo 350ml,1.0
0,Aussie Miracle Moist Shampoo 500Ml,Head and Shoulders Classic Clean Anti Dandruff Shampoo 500ml,0.12934126876046437
0,L'oreal Elvive Fine Hair Thickening Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.13494486444167128
0,L'oreal Kids Tropical Mango Shampoo 250Ml,L'Oreal Elvive Fibrology Shampoo  250ml,0.1524459674697315
0,Natural World Coconut Milk Shampoo Bar 100G,,0.0
0,Batiste Dry Shampoo Blush 200Ml,Batiste Dry Cherry Shampoo  200ml,0.5904558325967725
0,John Frieda Frizz Ease Recovery Shampoo 500Ml,Pantene Pro - V Smooth and Sleek Shampoo For Dull and Frizzy Hair 500ml,0.13762044530464732
0,Dubble Trubble Coconut 2 In 1 Shampoo & Body Wash 500Ml,Nutmeg Anti-Dandruff 2 In 1 Shampoo 500ml,0.274093758666547
0,Dove Daily Care Shampoo 250Ml,Dove Colour Care Shampoo  250ml,0.4831518995720602
0,Hask Biotin Boost Thickening Shampoo 355Ml,,0.0
0,Alberto Balsam Coconut & Lychee Shampoo 350Ml,Alberto Balsam Coconut & Lychee Nourishing Shampoo 350ml,0.8026623344406398
0,John Frieda Detox & Repair Shampoo 250Ml,John Frieda Hydrate & Recharge Shampoo 250ml,0.2616890582680197
0,L'oreal Elvive Colour Protect Purple Shampoo 200Ml,L' Oreal Elvive Colour Protect Purple Shampoo  200ml,0.9416444750546837
0,Aussie Mega Shampoo 300Ml,Aussie Mega Shampoo For That Mega Clean Feeling Every Day  300ml,0.512843561446414
0,Pantene 3In1 Classic Clean 225Ml,Head and Shoulders Classic Clean Anti Dandruff 2in1 Shampoo 225ml,0.41218527673821836
0,Aussie Shampoo Repair 300Ml,Aussie Repair Miracle Shampoo For Damaged 'Rescue Me!' Hair 300ml,0.44949334244015104
0,L'oreal Kids Extra Gently/Gentle 2 In 1 Shampoo 250Ml,L'Oreal Elseve Extraordinary Oil Nourishing Shampoo  250ml,0.15613903129407541
0,L'oreal Elvive Colour Protect Coloured Hair Shampoo 300Ml,"Aussie Colour Mate Shampoo For Vibrant, Coloured Hair 300ml",0.5642090416013511
0,Herbal Essences Ignite My Colour Rose Shampoo 400Ml,Herbal Essences Shampoo Ignite My Colour With Rose Essences 400ml,0.7933219011879598
0,Herbal Essences Hello Hydration Coconut Shampoo 400Ml,Herbal Essences Shampoo Hello Hydration With Coconut Essences 400ml,0.7951117391524846
0,Head & Shoulders Supreme Colour Shampoo 400Ml,Head and Shoulders Anti Dandruff Shampoo Supreme Colour Protect  400ml,0.6516178984379127
0,Pro:Voke Touch Of Silver Shampoo 150Ml,"Green People Organic Men's Itch Away Shampoo, Vegan 150ml",0.1354537156124357
0,Aussie Colour Mate Shampoo 500Ml,Nutmeg Anti-Dandruff Shampoo 500ml,0.11768823100680247
0,Alpecin Caffeine Shampoo 250Ml,Alpecin Caffeine Shampoo 250ml,1.0
0,Simple Kind To Hair Gentle Care Shampoo 400Ml,Simple Kind To Hair Gentle Care Shampoo  400ml,1.0
0,John Frieda Violet Crush For Blondes Intensive Purple Shampoo 250Ml,John Frieda Violet Crush Intense For Blondes Shampoo 250ml,0.7655681618455784
0,Herbal Essences Bio. Renew Coconut Shampoo 400Ml,Herbal Essences Bio Renew Shampoo Coconut Milk Hydrate 400ml,0.6693184819543574
0,Hask Argan Oil Shampoo 355Ml,,0.0
0,John Frieda Sheer Blonde Highlight Bright Shampoo 250Ml,John Frieda Sheer Blonde Go Blonder Lightening Shampoo 250ml,0.575146215991938
0,L'oreal Elvive Dream Lengths Hair Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.12022458117556502
0,Herbal Essences Dazzling Shine Shampoo 680Ml,,0.0
0,Head & Shoulders Supreme Moisture Shampoo 400Ml,Head and Shoulders Anti Dandruff Supreme Moisture Shampoo Dry Hair 400ml,0.7168737554462224
0,Herbal Essences Bio. Renew Golden Shampoo 400Ml,Herbal Essences Bio Renew Shampoo Coconut Milk Hydrate 400ml,0.4116357268663686
0,Plantur 39 Shampoo Col/Stress 250Ml,"Plantur 39 Phyto - Caffeine Shampoo For Fine, Brittle Hair 250ml",0.30172195160459475
0,Pantene Repair & Protect Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.674119208710191
0,John Frieda Luxurious Volume 7 Day Volume Shampoo 250Ml,John Frieda Luxurious Volume Thickening Shampoo 250ml,0.6817060496576928
0,Tesco Extracts Apple Shampoo 500Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo 500ml,0.30239975085997856
0,John Frieda Brilliant Brunette Colour Protect Shampoo 250Ml,John Frieda Brilliant Brunette Moisturising Shampoo for All Brunettes 250ml,0.6241749060539253
0,Herbal Essences Ignite My Colour Shampoo 680Ml,,0.0
0,Maui Moisture Coconut Milk Shampoo 385Ml,Maui Moisture Nourish & Moisture Coconut Milk Shampoo  385ml,0.8251066441947434
0,Garnier Ultimate Blends Coconut Milk Shampoo Dry Hair 360Ml,Garnier Ultimate Blends Coconut Water Dry Hair Shampoo 360ml,0.7119501675330485
0,Pantene Sheer Volume Shampoo 500Ml,Pantene Pro - V Smooth and Sleek Shampoo For Dull and Frizzy Hair 500ml,0.14946407128924033
0,Knight & Wilson Pureplex Bond Shampoo 200Ml,L' Oreal Elvive Colour Protect Purple Shampoo  200ml,0.1295210807423111
0,Natural World Coconut Water Shampoo 1000Ml,,0.0
0,Childs Farm Sensitive Skin Organic Rhubarb & Custard Shampoo 250M,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,0.10390195875369225
0,L'oreal Elvive Extraordinary Coconut Oil Shampoo 300Ml,Nutmeg Kids 2 In 1 Strawberry Shampoo 300ml,0.099714567885124
0,Herbal Essences Beautiful Ends Shampoo 400Ml,Herbal Essences Shampoo Dazzling Shine with Lime Essences 400ml,0.27893819836346034
0,Tesco Extracts Tropical Shampoo 500Ml,Head and Shoulders Itchy Scalp Eucalyptus Anti Dandruff Shampoo 500ml,0.10816331311037171
0,Head & Shoulders Smooth & Silky Shampoo 250Ml,Head and Shoulders Smooth and Silky Anti Dandruff Shampoo 250ml,0.8308970942073408
0,Head & Shoulders Citrus Fresh Shampoo 500Ml,Head & Shoulders Citrus Fresh Anti-Dandruff Shampoo 500ml,0.8724245571007803
0,Tresemme Colour Shineplex Shampoo 400Ml,Tresemme Colour Shampoo  400ml,0.6980898275113391
0,Batiste Dry Shampoo Original 400Ml,L' Oreal Paris Elvive Dream Length Restoring Shampoo 400ml,0.1530312435401865
0,Alberto Balsam Blueberry Shampoo 350Ml,Alberto Balsam Raspberry Shampoo 350ml,0.6297811316056742
0,Girlz Only Party Nights Dry Shampoo 200Ml,Batiste Dry Cherry Shampoo  200ml,0.2307218154925177
0,Head & Shoulders Smooth & Silky Shampoo 500Ml,Head and Shoulders Apple Fresh Anti Dandruff Shampoo 500ml,0.2986835996777298
0,L'oreal Elvive Men Triple Resist Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.19818496842080124
0,Vosene Kids 3In1 Shampoo & Conditioner 250Ml,Vosene Medicated Original Shampoo 250ml,0.16044101984742556
0,Garnier Ultimate Blends Coconut Oil Shampoo Frizzy Hair 360Ml,Garnier Ultimate Blends Coconut Oil Frizzy Hair Shampoo 360ml,0.9265728366228393
0,Herbal Essences Bio. Renew Argan Shampoo 400Ml,Herbal Essences Bio Renew Shampoo Argan Oil of Morocco 400ml,0.6295364670242699
0,Pantene Repair & Protect Shampoo 270Ml,,0.0
0,Herbal Essences Shampoo Micellar Water & Blue Ginger 400Ml,Herbal Essences Bio Renew Shampoo Micellar Water Revitalise 400ml,0.5280009396505437
0,Natural World Argan Oil Of Morocco Shampoo Bar 100G,,0.0
0,Nizoral Anti-Dandruff Shampoo 60Ml,Nizoral Anti-Dandruff Shampoo 60ml,1.0000000000000007
0,Ogx Coconut Milk Shampoo 385Ml,Ogx Nourishing Coconut Milk Shampoo 385ml,0.6430278888225393
0,Toni & Guy Volume Addiction Shampoo 250Ml,John Frieda Luxurious Volume Thickening Shampoo 250ml,0.2046894722988205
0,Herbal Essences Hello Hydration Shampoo 680Ml,,0.0
0,John Frieda Sheer Blonde Go Blonder Shampoo 250Ml,John Frieda Sheer Blonde Go Blonder Lightening Shampoo 250ml,0.8563836734919071
0,Childs Farm Sensitive Skin Organic Fig Shampoo 250Ml,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,0.12299518132716085
0,L'oreal Elvive Nutri-Gloss Shine Hair Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.13625481035596976
0,Wash & Go 2 In 1 Universal Shampoo Conditioner 200Ml,Wash & Go Shampoo & Conditioner 2 In 1 Classic 200ml,0.642762022818537
0,Head & Shoulders Classic Clean Shampoo 500Ml,Head and Shoulders Classic Clean Anti Dandruff Shampoo 500ml,0.8813924256752018
0,Garnier Ultimate Blends Oat Milk Sensitive Scalp Shampoo 360Ml,Garnier Ultimate Blends Oat Milk Sensitive Scalp Shampoo 360ml,0.9999999999999996
0,Head & Shoulders Supreme Damaged Repair Shampoo 400Ml,Head and Shoulders Anti Dandruff Supreme Damage Repair Shampoo 400ml,0.73959353167028
0,Ogx Brazilian Keratin Shampoo 385Ml,Ogx Brazillian Keratin Smooth Shampoo  385ml,0.7577089545891355
0,Pantene Classic Clean Shampoo 500Ml,Head and Shoulders Classic Clean Anti Dandruff Shampoo 500ml,0.6581079857023617
0,Herbal Essences Uplifting Volume Shampoo 400Ml,Herbal Essences Bio Renew Shampoo White Grapefruit & Mint Volume 400ml,0.3204706668214293
0,Head & Shoulders Supreme Smooth Shampoo 400Ml,Head and Shoulders Anti Dandruff Supreme Smooth Shampoo Dry Hair 400ml,0.6965955861347887
0,Head & Shoulders Citrus Fresh Shampoo 250Ml,Head and Shoulders Citrus Fresh Anti Dandruff Shampoo Oily Scalp  250ml,0.6793843205095602
0,Pantene Colour Protect Shampoo 500Ml,Pantene Pro - V Repair and Protect Shampoo For Damaged Hair 500ml,0.4283470672799403
0,Dove Intensive Repair Shampoo 400Ml,Dove Intensive Repair Shampoo  400ml,1.0000000000000004
0,L'oreal Elvive Extraordinary Oil Dry Hair Shampoo 300Ml,"Aussie Miracle Moist Shampoo For Dry, Really Thirsty Hair  300ml",0.19059467574081038
0,Batiste Blush 400Ml,Tresemme Biotin+ Repair 7 Shampoo 400ml,0.06778562471948693
0,John Frieda Frizz Ease Dream Curls Shampoo 250Ml,John Frieda Frizz Ease Dream Curls Shampoo 250ml,1.0000000000000004
0,Girlz Only Dawn Till Dusk Dry Shampoo 200Ml,Batiste Dry Cherry Shampoo  200ml,0.22406295925372288
0,Aussie Man Keep It Clean Shampoo 300Ml,Aussie Man Keep It Clean Shampoo Reformulated for Men 300ml,0.6691586903957287
0,Pantene Superfood Shampoo 500Ml,Pantene Pro - V Smooth and Sleek Shampoo For Dull and Frizzy Hair 500ml,0.16806501014511624
0,John Frieda Sheer Blonde Highlight Moisture Shampoo 250Ml,John Frieda Sheer Blonde Moisturising Shampoo for Lighter Blondes 250ml,0.6461862449387207
0,Tresemme Flawless Curls Shampoo 900Ml,,0.0
0,Herbal Essences White Tea & Mint Shampoo 400Ml,Herbal Essences Shampoo Daily Detox White Tea and Mint Shine 400ml,0.6764790760744773
0,Maui Moisture Coconut Oil Curl Shampoo 385Ml,Maui Moisture Nourish & Moisture Coconut Milk Shampoo  385ml,0.5618569795628969
0,Simple Kind To Hair Gently/Gentle Care Shampoo 200Ml,Dove Silver Care Shampoo 200ml,0.23062153827609905
